Won Hand,Trials,Reward
3690,10010,-591
3694,10020,-592
3699,10030,-578
3701,10040,-600
3704,10050,-606
3707,10060,-622
3708,10070,-638
3711,10080,-647
3715,10090,-636
3720,10100,-627
3721,10110,-654
3724,10120,-663
3731,10130,-630
3735,10140,-627
3741,10150,-595
3745,10160,-585
3746,10170,-612
3747,10180,-634
3751,10190,-631
3756,10200,-618
3764,10210,-577
3769,10220,-564
3774,10230,-549
3780,10240,-524
3786,10250,-501
3792,10260,-481
3795,10270,-491
3798,10280,-490
3802,10290,-493
3809,10300,-462
3816,10310,-425
3823,10320,-389
3825,10330,-398
3829,10340,-396
3832,10350,-410
3838,10360,-377
3843,10370,-362
3847,10380,-357
3849,10390,-383
3853,10400,-386
3857,10410,-367
3862,10420,-354
3870,10430,-313
3875,10440,-298
3881,10450,-278
3886,10460,-268
3890,10470,-268
3894,10480,-255
3897,10490,-261
3900,10500,-259
3903,10510,-266
3906,10520,-271
3910,10530,-253
3914,10540,-242
3917,10550,-247
3920,10560,-256
3925,10570,-232
3926,10580,-257
3929,10590,-272
3932,10600,-267
3933,10610,-305
3938,10620,-286
3941,10630,-282
3945,10640,-271
3947,10650,-286
3949,10660,-305
3952,10670,-310
3952,10680,-343
3958,10690,-318
3964,10700,-293
3967,10710,-302
3973,10720,-273
3981,10730,-227
3985,10740,-220
3989,10750,-222
3995,10760,-201
4001,10770,-170
4006,10780,-141
4009,10790,-137
4014,10800,-119
4021,10810,-87
4025,10820,-92
4030,10830,-80
4037,10840,-49
4041,10850,-48
4046,10860,-31
4051,10870,-19
4056,10880,0
4059,10890,-4
4063,10900,-5
4066,10910,-14
4068,10920,-20
4073,10930,-7
4076,10940,-9
4079,10950,-21
4087,10960,27
4090,10970,17
4094,10980,28
4100,10990,56
4104,11000,66
4106,11010,54
4109,11020,54
4115,11030,76
4120,11040,100
4125,11050,120
4129,11060,128
4136,11070,163
4141,11080,172
4143,11090,155
4147,11100,167
4150,11110,180
4152,11120,166
4159,11130,197
4164,11140,212
4169,11150,218
4175,11160,246
4180,11170,256
4183,11180,266
4185,11190,249
4192,11200,285
4196,11210,289
4203,11220,328
4204,11230,302
4206,11240,282
4211,11250,302
4217,11260,326
4219,11270,300
4222,11280,292
4228,11290,318
4232,11300,326
4235,11310,329
4238,11320,315
4241,11330,308
4246,11340,329
4250,11350,332
4254,11360,347
4257,11370,341
4261,11380,343
4267,11390,365
4269,11400,358
4274,11410,371
4278,11420,372
4280,11430,355
4285,11440,379
4287,11450,353
4291,11460,352
4295,11470,360
4299,11480,363
4302,11490,355
4308,11500,380
4312,11510,394
4316,11520,393
4317,11530,368
4323,11540,388
4328,11550,400
4332,11560,397
4337,11570,411
4340,11580,413
4344,11590,421
4346,11600,406
4350,11610,405
4354,11620,408
4355,11630,387
4360,11640,402
4363,11650,402
4369,11660,435
4372,11670,422
4376,11680,417
4377,11690,413
4380,11700,412
4385,11710,435
4390,11720,446
4393,11730,440
4398,11740,463
4403,11750,471
4406,11760,475
4412,11770,493
4415,11780,498
4419,11790,504
4424,11800,510
4427,11810,501
4430,11820,494
4435,11830,516
4438,11840,512
4440,11850,502
4445,11860,518
4449,11870,526
4454,11880,544
4461,11890,578
4468,11900,611
4474,11910,638
4476,11920,613
4482,11930,641
4486,11940,661
4488,11950,646
4493,11960,670
4496,11970,662
4499,11980,663
4501,11990,644
4504,12000,633
4508,12010,630
4512,12020,642
4514,12030,639
4515,12040,612
4519,12050,620
4524,12060,635
4530,12070,657
4534,12080,655
4540,12090,688
4544,12100,686
4545,12110,656
4551,12120,676
4557,12130,699
4562,12140,714
4564,12150,692
4568,12160,694
4575,12170,730
4577,12180,720
4580,12190,718
4584,12200,722
4589,12210,731
4592,12220,740
4595,12230,733
4603,12240,772
4608,12250,798
4611,12260,784
4612,12270,756
4617,12280,777
4620,12290,775
4622,12300,765
4625,12310,760
4631,12320,793
4637,12330,820
4640,12340,805
4645,12350,824
4647,12360,815
4650,12370,816
4655,12380,826
4659,12390,838
4663,12400,838
4668,12410,861
4671,12420,854
4677,12430,895
4681,12440,893
4688,12450,925
4692,12460,929
4695,12470,928
4699,12480,945
4703,12490,949
4709,12500,975
4715,12510,1000
4719,12520,1002
4722,12530,1003
4726,12540,1016
4730,12550,1014
4732,12560,1006
4734,12570,996
4737,12580,991
4740,12590,984
4744,12600,997
4747,12610,984
4751,12620,995
4755,12630,1008
4761,12640,1034
4766,12650,1042
4768,12660,1029
4773,12670,1045
4779,12680,1068
4786,12690,1098
4791,12700,1111
4795,12710,1118
4796,12720,1087
4799,12730,1091
4803,12740,1106
4805,12750,1094
4808,12760,1097
4813,12770,1105
4820,12780,1137
4824,12790,1142
4830,12800,1174
4836,12810,1204
4840,12820,1215
4845,12830,1233
4850,12840,1242
4854,12850,1243
4859,12860,1254
4862,12870,1246
4864,12880,1221
4869,12890,1234
4871,12900,1213
4875,12910,1222
4879,12920,1230
4882,12930,1224
4885,12940,1218
4891,12950,1252
4894,12960,1241
4897,12970,1248
4904,12980,1283
4910,12990,1307
4915,13000,1320
4919,13010,1324
4926,13020,1361
4932,13030,1385
4935,13040,1379
4937,13050,1364
4944,13060,1400
4947,13070,1387
4951,13080,1388
4956,13090,1411
4962,13100,1435
4965,13110,1427
4967,13120,1405
4970,13130,1414
4975,13140,1435
4978,13150,1421
4984,13160,1447
4988,13170,1458
4991,13180,1443
4999,13190,1488
5005,13200,1511
5010,13210,1520
5014,13220,1523
5019,13230,1543
5025,13240,1577
5030,13250,1589
5031,13260,1559
5037,13270,1589
5043,13280,1615
5048,13290,1645
5052,13300,1641
5055,13310,1633
5058,13320,1628
5061,13330,1634
5065,13340,1637
5068,13350,1633
5072,13360,1637
5075,13370,1629
5079,13380,1633
5080,13390,1605
5083,13400,1598
5086,13410,1598
5088,13420,1584
5090,13430,1570
5092,13440,1557
5097,13450,1575
5100,13460,1577
5106,13470,1602
5109,13480,1594
5113,13490,1603
5115,13500,1578
5118,13510,1578
5126,13520,1619
5132,13530,1658
5135,13540,1653
5137,13550,1646
5140,13560,1641
5143,13570,1630
5145,13580,1608
5151,13590,1638
5153,13600,1623
5158,13610,1656
5163,13620,1673
5165,13630,1662
5169,13640,1660
5172,13650,1665
5174,13660,1646
5179,13670,1657
5184,13680,1672
5187,13690,1671
5191,13700,1681
5194,13710,1682
5196,13720,1670
5202,13730,1699
5207,13740,1709
5208,13750,1679
5211,13760,1680
5214,13770,1679
5221,13780,1715
5227,13790,1741
5230,13800,1741
5233,13810,1740
5237,13820,1744
5240,13830,1732
5244,13840,1741
5246,13850,1724
5250,13860,1726
5255,13870,1748
5258,13880,1733
5264,13890,1766
5269,13900,1787
5273,13910,1784
5274,13920,1757
5281,13930,1786
5289,13940,1828
5295,13950,1850
5297,13960,1844
5304,13970,1881
5310,13980,1911
5313,13990,1899
5317,14000,1904
5317,14010,1865
5321,14020,1865
5325,14030,1870
5329,14040,1865
5332,14050,1866
5338,14060,1888
5340,14070,1869
5345,14080,1894
5349,14090,1900
5350,14100,1884
5353,14110,1872
5355,14120,1854
5357,14130,1836
5360,14140,1839
5365,14150,1848
5369,14160,1859
5370,14170,1824
5375,14180,1830
5379,14190,1841
5384,14200,1851
5389,14210,1859
5392,14220,1861
5396,14230,1866
5397,14240,1834
5399,14250,1824
5402,14260,1824
5409,14270,1862
5413,14280,1871
5416,14290,1861
5422,14300,1891
5425,14310,1876
5428,14320,1867
5432,14330,1863
5436,14340,1874
5440,14350,1879
5443,14360,1868
5449,14370,1889
5455,14380,1911
5457,14390,1898
5462,14400,1909
5464,14410,1899
5466,14420,1882
5472,14430,1907
5477,14440,1921
5484,14450,1952
5487,14460,1947
5494,14470,1984
5497,14480,1972
5503,14490,2001
5505,14500,1983
5508,14510,1981
5510,14520,1978
5514,14530,1987
5518,14540,2005
5519,14550,1979
5521,14560,1970
5525,14570,1974
5528,14580,1966
5531,14590,1957
5533,14600,1960
5535,14610,1944
5538,14620,1931
5540,14630,1915
5546,14640,1936
5552,14650,1958
5554,14660,1943
5560,14670,1970
5564,14680,1971
5566,14690,1964
5572,14700,1986
5577,14710,2001
5577,14720,1977
5580,14730,1968
5581,14740,1951
5586,14750,1986
5590,14760,1988
5596,14770,2006
5599,14780,1999
5602,14790,1998
5606,14800,2000
5609,14810,2000
5612,14820,1992
5617,14830,2007
5625,14840,2051
5630,14850,2064
5632,14860,2042
5635,14870,2036
5641,14880,2059
5644,14890,2051
5647,14900,2050
5650,14910,2049
5654,14920,2058
5659,14930,2074
5664,14940,2084
5666,14950,2064
5671,14960,2077
5675,14970,2078
