Won Hand,Trials,Reward
3389,8660,3191
3395,8670,3212
3398,8680,3201
3402,8690,3206
3405,8700,3199
3408,8710,3187
3411,8720,3183
3414,8730,3180
3417,8740,3180
3422,8750,3188
3425,8760,3176
3427,8770,3159
3429,8780,3139
3438,8790,3196
3438,8800,3146
3445,8810,3184
3449,8820,3191
3453,8830,3201
3459,8840,3219
3463,8850,3222
3465,8860,3205
3468,8870,3202
3471,8880,3194
3474,8890,3196
3483,8900,3254
3489,8910,3283
3493,8920,3286
3499,8930,3314
3500,8940,3299
3502,8950,3283
3505,8960,3278
3510,8970,3291
3514,8980,3290
3520,8990,3314
3522,9000,3303
3526,9010,3309
3531,9020,3325
3535,9030,3332
3540,9040,3347
3543,9050,3337
3551,9060,3379
3555,9070,3388
3560,9080,3399
3565,9090,3407
3569,9100,3412
3572,9110,3410
3577,9120,3421
3580,9130,3412
3584,9140,3416
3588,9150,3429
3593,9160,3443
3598,9170,3452
3601,9180,3445
3602,9190,3424
3606,9200,3426
3611,9210,3435
3615,9220,3447
3619,9230,3444
3625,9240,3470
3626,9250,3437
3631,9260,3457
3637,9270,3477
3642,9280,3491
3649,9290,3521
3653,9300,3527
3658,9310,3549
3661,9320,3541
3664,9330,3534
3666,9340,3512
3672,9350,3535
3676,9360,3539
3680,9370,3543
3683,9380,3539
3688,9390,3547
3694,9400,3566
3698,9410,3572
3703,9420,3583
3708,9430,3601
3712,9440,3600
3718,9450,3619
3722,9460,3626
3728,9470,3650
3730,9480,3627
3734,9490,3639
3738,9500,3633
3743,9510,3652
3748,9520,3673
3751,9530,3664
3756,9540,3678
3759,9550,3677
3762,9560,3677
3767,9570,3684
3771,9580,3680
3775,9590,3691
3777,9600,3677
3782,9610,3693
3784,9620,3673
3789,9630,3696
3793,9640,3698
3796,9650,3691
3800,9660,3702
3806,9670,3728
3809,9680,3715
3810,9690,3703
3815,9700,3710
3817,9710,3691
3821,9720,3688
3825,9730,3690
3828,9740,3685
3834,9750,3709
3838,9760,3714
3841,9770,3698
3845,9780,3698
3848,9790,3693
3850,9800,3688
3855,9810,3703
3857,9820,3685
3862,9830,3692
3869,9840,3727
3872,9850,3720
3878,9860,3758
3879,9870,3732
3882,9880,3737
3885,9890,3746
3891,9900,3786
3893,9910,3771
3895,9920,3755
3901,9930,3775
3903,9940,3763
3907,9950,3778
3909,9960,3769
3913,9970,3780
3917,9980,3792
3925,9990,3834
3929,10000,3830
3935,10010,3849
3942,10020,3881
3948,10030,3906
3952,10040,3910
3956,10050,3922
3961,10060,3936
3964,10070,3931
3968,10080,3930
3974,10090,3952
3979,10100,3964
3985,10110,3987
3989,10120,3989
3994,10130,3998
3997,10140,3988
3998,10150,3961
4001,10160,3951
4004,10170,3950
4006,10180,3934
4011,10190,3943
4015,10200,3955
4019,10210,3957
4023,10220,3969
4028,10230,3977
4032,10240,3983
4036,10250,3981
4038,10260,3964
4042,10270,3963
4045,10280,3961
4049,10290,3963
4053,10300,3960
4059,10310,3994
4062,10320,3984
4064,10330,3974
4067,10340,3974
4071,10350,3972
4079,10360,4014
4086,10370,4051
4089,10380,4037
4092,10390,4038
4095,10400,4031
4101,10410,4066
4103,10420,4055
4106,10430,4048
4109,10440,4050
4113,10450,4062
4115,10460,4045
4115,10470,4008
4119,10480,4004
4126,10490,4039
4130,10500,4036
4134,10510,4036
4138,10520,4046
4141,10530,4035
4145,10540,4036
4150,10550,4045
4153,10560,4037
4157,10570,4044
4159,10580,4029
4164,10590,4043
4164,10600,4015
4168,10610,4014
4174,10620,4034
4181,10630,4076
4186,10640,4085
4189,10650,4073
4193,10660,4079
4196,10670,4069
4198,10680,4060
4200,10690,4056
4206,10700,4076
4210,10710,4082
4214,10720,4082
4221,10730,4113
4225,10740,4110
4227,10750,4092
4231,10760,4109
4234,10770,4104
4238,10780,4107
4241,10790,4104
4245,10800,4105
4249,10810,4103
4253,10820,4108
4255,10830,4093
4259,10840,4091
4264,10850,4099
4267,10860,4096
4270,10870,4085
4277,10880,4121
4279,10890,4105
4282,10900,4095
4287,10910,4111
4292,10920,4124
4294,10930,4106
4296,10940,4093
4301,10950,4108
4303,10960,4092
4307,10970,4093
4313,10980,4120
4315,10990,4103
4316,11000,4089
4318,11010,4079
4321,11020,4073
4325,11030,4081
4329,11040,4083
4334,11050,4099
4342,11060,4142
4347,11070,4155
4353,11080,4176
4356,11090,4171
4361,11100,4192
4364,11110,4179
4367,11120,4167
4370,11130,4161
4375,11140,4175
4378,11150,4164
4383,11160,4178
4387,11170,4179
4390,11180,4176
4393,11190,4169
4397,11200,4176
4399,11210,4170
4401,11220,4143
4406,11230,4158
4409,11240,4146
4414,11250,4162
4417,11260,4156
4421,11270,4166
4429,11280,4211
4432,11290,4209
4437,11300,4226
4442,11310,4238
4447,11320,4247
4449,11330,4225
4453,11340,4228
4457,11350,4241
4462,11360,4263
4465,11370,4254
4468,11380,4245
4474,11390,4270
4476,11400,4246
4480,11410,4251
4485,11420,4262
4490,11430,4276
4497,11440,4306
4500,11450,4303
4504,11460,4309
4508,11470,4325
4512,11480,4336
4516,11490,4335
4518,11500,4319
4523,11510,4336
4528,11520,4344
4530,11530,4321
4535,11540,4333
4539,11550,4340
4545,11560,4368
4549,11570,4376
4550,11580,4339
4553,11590,4326
4560,11600,4365
4561,11610,4341
4564,11620,4334
4570,11630,4364
4575,11640,4375
4581,11650,4402
4586,11660,4413
4588,11670,4406
4595,11680,4444
4599,11690,4451
4603,11700,4450
4609,11710,4468
4613,11720,4474
4620,11730,4507
4625,11740,4518
4627,11750,4496
4629,11760,4479
4633,11770,4484
4634,11780,4477
4639,11790,4486
4644,11800,4500
4648,11810,4502
4652,11820,4520
4654,11830,4499
4658,11840,4506
4662,11850,4505
4669,11860,4534
4674,11870,4548
4681,11880,4588
4685,11890,4598
4692,11900,4631
4696,11910,4640
4698,11920,4624
4700,11930,4605
4707,11940,4633
4709,11950,4617
4713,11960,4624
4716,11970,4631
4722,11980,4653
4726,11990,4657
4730,12000,4672
4735,12010,4699
4739,12020,4697
4743,12030,4699
4749,12040,4727
4752,12050,4720
4755,12060,4715
4759,12070,4729
4764,12080,4747
4768,12090,4746
4769,12100,4727
4776,12110,4756
4778,12120,4736
4785,12130,4772
4790,12140,4779
4793,12150,4775
4796,12160,4766
4799,12170,4770
4802,12180,4764
4805,12190,4753
4808,12200,4751
4813,12210,4761
4816,12220,4749
4821,12230,4761
4824,12240,4754
4828,12250,4751
4832,12260,4751
4836,12270,4755
4839,12280,4748
4844,12290,4767
4848,12300,4782
4852,12310,4789
4856,12320,4796
4858,12330,4774
4861,12340,4763
4867,12350,4786
4870,12360,4777
4875,12370,4795
4880,12380,4814
4884,12390,4825
4887,12400,4826
4889,12410,4800
4893,12420,4803
4897,12430,4811
4904,12440,4850
4907,12450,4837
4911,12460,4849
4912,12470,4824
4916,12480,4831
4918,12490,4812
4922,12500,4829
4926,12510,4837
4929,12520,4827
4931,12530,4802
4934,12540,4801
4940,12550,4821
4943,12560,4815
4947,12570,4816
4952,12580,4826
4956,12590,4845
4959,12600,4835
4962,12610,4824
4966,12620,4835
4968,12630,4832
4975,12640,4872
4980,12650,4883
4982,12660,4881
4984,12670,4856
4986,12680,4840
4988,12690,4835
4991,12700,4818
4998,12710,4847
5002,12720,4854
5007,12730,4872
5013,12740,4894
5018,12750,4910
5024,12760,4932
5028,12770,4929
5032,12780,4927
5037,12790,4937
5039,12800,4926
5043,12810,4941
5046,12820,4941
5049,12830,4944
5050,12840,4907
5055,12850,4916
5061,12860,4935
5067,12870,4959
5071,12880,4961
5074,12890,4962
5077,12900,4956
5082,12910,4971
5086,12920,4968
5089,12930,4958
5091,12940,4946
5093,12950,4935
5098,12960,4951
5104,12970,4974
5106,12980,4961
5108,12990,4944
5112,13000,4939
5116,13010,4938
5119,13020,4926
5125,13030,4945
5133,13040,4986
5135,13050,4971
5140,13060,4981
5144,13070,4985
5150,13080,5005
5156,13090,5033
5163,13100,5076
5165,13110,5062
5167,13120,5039
5172,13130,5048
5176,13140,5059
5180,13150,5055
5184,13160,5064
5191,13170,5109
5196,13180,5127
5200,13190,5141
5204,13200,5136
5207,13210,5126
5213,13220,5154
5219,13230,5183
5220,13240,5164
5225,13250,5173
5229,13260,5178
5233,13270,5178
5234,13280,5160
5238,13290,5157
5241,13300,5152
5245,13310,5150
5247,13320,5137
5250,13330,5124
5252,13340,5106
5256,13350,5102
5263,13360,5132
5271,13370,5171
5277,13380,5195
5281,13390,5207
5286,13400,5220
5290,13410,5216
5295,13420,5228
5302,13430,5257
5310,13440,5297
5315,13450,5308
5316,13460,5285
5320,13470,5288
5324,13480,5300
5328,13490,5304
5334,13500,5325
5336,13510,5311
5340,13520,5312
5345,13530,5332
5349,13540,5338
5354,13550,5346
5360,13560,5376
5364,13570,5385
5369,13580,5407
5374,13590,5429
5379,13600,5445
5381,13610,5420
5384,13620,5419
5389,13630,5429
5393,13640,5432
5398,13650,5443
5403,13660,5460
5408,13670,5469
5413,13680,5486
5416,13690,5486
5420,13700,5489
5428,13710,5537
5432,13720,5537
5437,13730,5562
5440,13740,5558
5442,13750,5539
5445,13760,5527
5449,13770,5529
5452,13780,5528
5458,13790,5555
5460,13800,5532
5464,13810,5536
5469,13820,5559
5473,13830,5560
5478,13840,5576
5480,13850,5556
5485,13860,5563
5492,13870,5594
5496,13880,5597
5499,13890,5590
5503,13900,5589
5506,13910,5588
5509,13920,5587
5515,13930,5606
5518,13940,5597
5524,13950,5625
5529,13960,5637
5531,13970,5625
5534,13980,5630
5542,13990,5679
5543,14000,5657
5548,14010,5665
5552,14020,5671
5556,14030,5689
5561,14040,5696
5565,14050,5702
5568,14060,5706
5573,14070,5717
5578,14080,5728
5583,14090,5737
5587,14100,5738
5593,14110,5773
5596,14120,5774
5600,14130,5779
5604,14140,5794
5607,14150,5787
5611,14160,5797
5617,14170,5819
5620,14180,5813
5624,14190,5822
5628,14200,5841
5630,14210,5829
5633,14220,5828
5634,14230,5806
5641,14240,5837
5647,14250,5856
5651,14260,5855
5654,14270,5855
5660,14280,5881
5663,14290,5878
5666,14300,5863
5672,14310,5885
5676,14320,5887
5681,14330,5899
5685,14340,5902
5689,14350,5905
5693,14360,5903
5701,14370,5947
5707,14380,5979
5710,14390,5972
5715,14400,5992
5719,14410,5993
5721,14420,5976
5726,14430,5991
5729,14440,5988
5734,14450,6007
5736,14460,5991
5742,14470,6022
5745,14480,6013
5748,14490,6019
5753,14500,6050
5755,14510,6043
5758,14520,6040
5763,14530,6052
5768,14540,6074
5774,14550,6101
5777,14560,6096
